CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,EstimatedSalary,Exited,Satisfaction Score,Point Earned,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Geography_Germany,Geography_Spain,Gender_Male,CHURN_PREDICT,CHURN_PROB
619,42,2,0.0,1,1,101348.88,1,2,464,0,0,0,0,0,0,1,0.8058
608,41,1,83807.86,1,0,112542.58,0,3,456,0,0,0,0,1,0,1,0.5138
502,42,8,159660.8,3,1,113931.57,1,3,377,0,0,0,0,0,0,1,0.9221
699,39,1,0.0,2,0,93826.63,0,5,350,1,0,0,0,0,0,0,0.1943
850,43,2,125510.82,1,1,79084.1,0,5,425,1,0,0,0,1,0,0,0.3705
645,44,8,113755.78,2,1,149756.71,1,5,484,0,0,0,0,1,1,0,0.4847
822,50,7,0.0,2,1,10062.8,0,2,206,0,0,1,0,0,1,0,0.2275
376,29,4,115046.74,4,1,119346.88,1,2,282,0,0,0,1,0,0,1,0.8073
501,44,4,142051.07,2,0,74940.5,0,3,251,1,0,0,0,0,1,0,0.3474
684,27,2,134603.88,1,1,71725.73,0,3,342,1,0,0,0,0,1,0,0.156
528,31,6,102016.72,2,0,80181.12,0,3,264,1,0,0,0,0,1,0,0.103
497,24,3,0.0,2,1,76390.01,0,3,249,1,0,0,0,1,1,0,0.0287
476,34,10,0.0,2,1,26260.98,0,3,119,0,0,1,0,0,0,0,0.0996
549,25,5,0.0,2,0,190857.79,0,3,549,0,1,0,0,0,0,0,0.0558
635,35,7,0.0,2,1,65951.65,0,2,318,1,0,0,0,1,0,0,0.0862
616,45,3,143129.41,2,0,64327.26,0,5,308,1,0,0,1,0,1,0,0.3877
653,58,1,132602.88,1,1,5097.67,1,2,163,0,0,1,1,0,1,1,0.8108
549,24,9,0.0,2,1,14406.41,0,3,544,0,0,1,0,1,0,0,0.0714
587,45,6,0.0,1,0,158684.81,0,3,732,0,1,0,0,1,1,1,0.7017
726,24,6,0.0,2,1,54724.03,0,4,477,1,0,0,0,0,0,0,0.0496
732,41,8,0.0,2,1,170886.17,0,3,568,0,1,0,0,0,1,0,0.0745
636,32,8,0.0,2,1,138555.46,0,2,336,0,0,0,0,1,0,0,0.0432
510,38,4,0.0,1,1,118913.53,1,2,887,0,0,0,0,1,0,0,0.4688
669,46,3,0.0,2,0,8487.75,0,2,665,0,0,1,0,0,1,0,0.1365
846,38,5,0.0,1,1,187616.16,0,3,225,0,1,0,0,0,0,0,0.3313
577,25,3,0.0,2,0,124508.29,0,3,659,0,1,0,0,0,1,0,0.0177
756,36,2,136815.64,1,1,170041.95,0,5,236,0,0,0,1,0,1,0,0.2669
571,44,9,0.0,2,0,38433.35,0,4,448,0,1,0,0,0,1,0,0.1882
574,43,3,141349.43,1,1,100187.43,0,5,499,0,0,0,1,0,0,1,0.6495
411,29,0,59697.17,2,1,53483.21,0,2,343,1,0,0,0,0,1,0,0.19
591,39,3,0.0,3,1,140469.38,1,3,298,0,0,0,0,1,0,1,0.6915
533,36,7,85311.7,1,0,156731.91,0,5,628,0,0,1,0,0,1,0,0.2026
553,41,9,110112.54,2,0,81898.81,0,3,611,1,0,0,1,0,1,0,0.2765
520,42,6,0.0,2,1,34410.55,0,2,922,0,0,1,0,1,0,0,0.1432
722,29,9,0.0,2,1,142033.07,0,5,276,0,1,0,0,1,0,0,0.1004
475,45,0,134264.04,1,1,27822.99,1,1,877,0,0,0,0,0,0,1,0.6428
490,31,3,145260.23,1,0,114066.77,0,4,471,0,0,1,0,1,1,0,0.2093
804,33,7,76548.6,1,0,98453.45,0,2,994,1,0,0,0,1,1,0,0.131
850,36,7,0.0,1,1,40812.9,0,3,944,1,0,0,0,0,1,0,0.2511
582,41,6,70349.48,2,0,178074.04,0,5,419,1,0,0,1,0,1,0,0.1989
472,40,4,0.0,1,1,70154.22,0,4,545,0,0,0,0,1,1,1,0.5157
465,51,8,122522.32,1,0,181297.65,1,5,828,0,0,1,0,0,0,1,0.7107
556,61,2,117419.35,1,1,94153.83,0,3,789,0,1,0,0,0,0,1,0.7174
834,49,2,131394.56,1,0,194365.76,1,2,567,1,0,0,0,0,0,1,0.6818
660,61,5,155931.11,1,1,158338.39,0,1,884,0,1,0,0,1,0,1,0.5286
776,32,4,109421.13,2,1,126517.46,0,1,296,0,0,1,1,0,0,0,0.2142
829,27,9,112045.67,1,1,119708.21,1,3,779,0,0,0,1,0,0,1,0.5337
637,39,9,137843.8,1,1,117622.8,1,1,730,0,0,1,1,0,0,1,0.7368
550,38,2,103391.38,1,0,90878.13,0,3,960,0,0,0,1,0,1,0,0.4378
776,37,2,103769.22,2,1,194099.12,0,1,268,0,0,1,1,0,0,0,0.2309
698,44,10,116363.37,2,1,198059.16,0,4,829,0,0,1,1,0,1,0,0.2869
585,36,5,146050.97,2,0,86424.57,0,3,665,0,0,1,1,0,1,0,0.1933
788,33,5,0.0,2,0,116978.19,0,3,982,1,0,0,0,0,0,0,0.0739
655,41,8,125561.97,1,0,164040.94,1,3,343,0,0,1,1,0,1,1,0.7951
601,42,1,98495.72,1,1,40014.76,1,2,225,0,0,0,1,0,1,1,0.8241
619,43,1,125211.92,1,1,113410.49,0,5,657,0,0,1,0,0,1,1,0.5455
656,45,5,127864.4,1,1,87107.57,0,2,221,0,1,0,0,0,1,0,0.4384
725,19,0,75888.2,1,0,45613.75,0,2,406,0,1,0,1,0,1,0,0.2131
511,66,4,0.0,1,1,1643.11,1,5,549,0,0,1,0,1,0,0,0.3934
614,51,4,40685.92,1,1,46775.28,0,4,954,0,1,0,0,0,1,1,0.6156
742,35,5,136857.0,1,0,84509.57,0,4,823,1,0,0,1,0,1,0,0.374
687,27,9,152328.88,2,0,126494.82,0,5,769,0,0,0,1,0,0,0,0.2008
555,33,1,56084.69,2,0,178798.13,0,5,481,0,1,0,0,1,1,0,0.2212
684,56,8,78707.16,1,1,99398.36,0,4,903,0,0,1,0,1,1,0,0.4051
603,26,4,109166.37,1,1,92840.67,0,3,882,0,1,0,1,0,1,0,0.3117
751,36,6,169831.46,2,1,27758.36,0,5,379,1,0,0,1,0,0,0,0.1971
581,34,1,101633.04,1,1,110431.51,0,3,469,0,1,0,1,0,0,1,0.5396
735,43,10,123180.01,2,1,196673.28,0,3,683,0,1,0,1,0,1,0,0.2353
661,35,5,150725.53,2,0,113656.85,0,1,770,1,0,0,1,0,0,0,0.1625
675,21,8,98373.26,1,1,18203.0,0,5,985,0,0,1,0,0,0,0,0.1717
738,58,2,133745.44,4,1,28373.86,1,4,725,1,0,0,1,0,1,1,0.8827
813,29,6,0.0,1,1,33953.87,0,3,259,0,1,0,0,0,1,0,0.2274
657,37,0,163607.18,1,0,44203.55,0,2,979,1,0,0,0,1,0,0,0.2429
604,25,5,157780.84,2,1,58426.81,0,2,988,0,0,1,1,0,0,0,0.138
519,36,9,0.0,2,0,145562.4,0,2,833,0,1,0,0,0,1,0,0.0524
735,21,1,178718.19,2,1,22388.0,0,1,527,0,1,0,0,0,0,0,0.182
664,55,8,0.0,2,1,139161.64,0,5,220,0,0,1,0,0,1,0,0.2289
678,32,9,0.0,1,1,148210.64,0,4,983,1,0,0,0,0,0,0,0.2477
757,33,5,77253.22,1,0,194239.63,0,3,582,0,0,1,0,1,1,0,0.179
416,41,10,122189.66,2,1,98301.61,0,3,281,0,0,1,1,0,0,0,0.4458
665,34,1,96645.54,2,0,171413.66,0,3,798,0,0,0,0,0,0,0,0.1753
777,32,2,0.0,1,1,136458.19,1,5,917,0,0,1,0,0,0,0,0.4333
543,36,3,0.0,2,0,26019.59,0,2,255,0,0,0,0,0,0,0,0.0897
506,34,4,90307.62,1,1,159235.29,0,4,511,0,0,1,0,0,0,0,0.186
493,46,4,0.0,2,1,1907.66,0,1,498,0,0,1,0,0,0,0,0.1895
652,75,10,0.0,2,1,114675.75,0,5,651,0,0,0,0,1,0,0,0.1905
750,22,3,121681.82,1,1,128643.35,1,2,852,0,0,1,0,1,1,0,0.266
729,30,9,0.0,2,1,151869.35,0,1,807,0,0,0,0,0,1,0,0.022
646,46,4,0.0,3,1,93251.42,1,3,470,0,1,0,0,0,0,1,0.8299
635,28,3,81623.67,2,1,156791.36,0,1,659,0,0,0,1,0,0,0,0.1266
647,44,5,0.0,3,1,174205.22,1,3,752,0,0,0,0,1,0,1,0.8862
808,45,7,118626.55,2,1,147132.46,0,1,559,0,0,1,0,0,1,0,0.2778
524,36,10,0.0,2,1,109614.57,0,2,375,1,0,0,0,0,0,0,0.1318
769,29,8,0.0,2,1,172290.61,0,2,411,0,0,0,0,0,1,0,0.0303
730,42,4,0.0,2,0,85982.47,0,4,722,0,0,0,0,1,1,0,0.0928
515,35,10,176273.95,1,0,121277.78,0,1,231,1,0,0,0,1,1,0,0.2556
773,41,9,102827.44,1,0,64595.25,0,5,488,0,0,0,0,1,1,0,0.3277
814,29,8,97086.4,2,1,197276.13,0,2,965,1,0,0,1,0,1,0,0.1034
